station_code,tier_cm,started_at,ended_at,duration_minutes,n_readings,peak_depth_cm,n_excursions_merged,year
FL.BRK.01,5.0,2019-09-14 18:20:00,2019-09-14 19:05:00,50,10,21.6,1,2019
FL.KSN.01,5.0,2019-09-14 18:20:00,2019-09-14 18:35:00,20,4,8.9,1,2019
FL.STN.04,5.0,2019-09-14 18:25:00,2019-09-14 20:05:00,105,21,22.8,1,2019
FL.STN.02,5.0,2019-09-14 18:30:00,2019-09-14 19:50:00,85,17,27.4,1,2019
FL.STN.03,5.0,2019-09-14 18:30:00,2019-09-14 20:10:00,105,21,25.0,1,2019
FL.SMI.01,5.0,2019-09-15 23:45:00,2019-09-16 00:15:00,35,7,25.0,1,2019
FL.BNA.03,5.0,2019-09-15 23:50:00,2019-09-16 00:20:00,35,7,8.7,1,2019
FL.CTC.02,5.0,2019-09-15 23:55:00,2019-09-16 01:45:00,115,23,33.1,1,2019
FL.CTC.04,5.0,2019-09-16 00:00:00,2019-09-16 02:00:00,125,25,52.5,1,2019
FL.LSI.03,5.0,2019-09-16 00:00:00,2019-09-16 00:40:00,45,9,7.9,1,2019
FL.CTC.06,5.0,2019-09-16 00:05:00,2019-09-16 01:10:00,70,14,10.6,1,2019
FL.CTC.07,5.0,2019-09-16 00:05:00,2019-09-16 00:30:00,30,6,14.1,1,2019
FL.CTC.05,5.0,2019-09-16 00:10:00,2019-09-16 00:50:00,45,9,10.4,1,2019
FL.LSI.02,5.0,2019-09-16 00:10:00,2019-09-16 00:20:00,15,3,9.2,1,2019
FL.CTC.01,5.0,2019-09-16 00:15:00,2019-09-16 02:10:00,120,24,18.3,1,2019
FL.DDG.06,5.0,2019-09-16 00:20:00,2019-09-16 01:00:00,45,9,12.5,1,2019
FL.PTW.01,5.0,2019-09-16 00:20:00,2019-09-16 00:30:00,15,3,9.1,1,2019
FL.PTW.02,5.0,2019-09-16 00:20:00,2019-09-16 01:15:00,60,12,14.9,1,2019
FL.PYT.02,5.0,2019-09-16 00:20:00,2019-09-16 00:55:00,40,8,16.6,1,2019
FL.PYT.04,5.0,2019-09-16 00:20:00,2019-09-16 00:35:00,20,4,10.3,1,2019
FL.RTW.01,5.0,2019-09-16 00:20:00,2019-09-16 00:25:00,10,2,9.8,1,2019
FL.BRK.01,5.0,2019-09-16 00:25:00,2019-09-16 01:00:00,40,8,14.2,1,2019
FL.BRK.02,5.0,2019-09-16 00:25:00,2019-09-16 01:00:00,40,8,7.8,1,2019
FL.PTW.05,5.0,2019-09-16 00:25:00,2019-09-16 01:30:00,70,14,24.4,1,2019
FL.PYT.01,5.0,2019-09-16 00:25:00,2019-09-16 00:45:00,25,5,8.8,1,2019
FL.RTW.10,5.0,2019-09-16 00:25:00,2019-09-16 00:55:00,35,7,22.5,1,2019
FL.DDG.02,5.0,2019-09-16 00:30:00,2019-09-16 00:40:00,15,3,5.9,1,2019
FL.SPW.01,5.0,2019-09-16 00:30:00,2019-09-16 00:40:00,15,3,7.8,1,2019
FL.STN.02,5.0,2019-09-16 00:30:00,2019-09-16 01:40:00,75,15,25.9,1,2019
FL.SPW.02,5.0,2019-09-16 00:35:00,2019-09-16 00:55:00,25,5,7.1,1,2019
FL.STN.03,5.0,2019-09-16 00:45:00,2019-09-16 01:10:00,30,6,10.2,1,2019
FL.STN.04,5.0,2019-09-16 00:45:00,2019-09-16 01:25:00,45,9,9.8,1,2019
FL.SLG.03,5.0,2019-09-16 13:45:00,2019-09-16 14:05:00,25,5,15.1,1,2019
FL.BNA.03,5.0,2019-09-16 14:40:00,2019-09-16 15:05:00,30,6,9.0,1,2019
FL.LSI.03,5.0,2019-09-17 18:20:00,2019-09-17 22:45:00,270,43,32.8,2,2019
FL.LSI.04,5.0,2019-09-17 18:25:00,2019-09-17 22:30:00,250,40,21.6,2,2019
