station,rows,ts_min,ts_max,n_ts,name,n_flood,min_flood,max_flood,avg_flood,n_ge5,n_ge15,n_ge30,n_gt0,n_neg,year,dataset
FL.BKM.02,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.นวมินทร์ ช่วงซอย 135,105408,0.0,17.3,0.0232496585,25,3,0,9710,0,2020,flood
FL.BKN.01,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.อิสรภาพ ช่วงตลาดพรานนก,105408,0.0,22.6,0.0075829159,60,14,0,89,0,2020,flood
FL.BKN.02,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.บรมราชชนนี ช่วงสายใต้,105408,0.0,24.3,0.0116556618,52,14,0,2191,0,2020,flood
FL.BKP.01,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.ลาดพร้าว แม็คโคร,105408,0.0,5.0,0.0496072404,1,0,0,8838,0,2020,flood
FL.BKP.02,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.ศรีนครินทร์ หน้าบริษัทกรีนสปอร์ต,105408,0.0,0.0,0.0,0,0,0,0,0,2020,flood
FL.BNA.01,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.สุขุมวิท ช่วงกรมอุตุนิยมวิทยา,105408,0.0,16.4,0.0027483682,16,1,0,59,0,2020,flood
FL.BNA.02,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.ศรีนครินทร์ ช่วงวัดศรีเอี่ยม,105408,0.0,8.9,0.0011972526,12,0,0,35,0,2020,flood
FL.BNA.03,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.สุขุมวิท ช่วงแยกบางนา,105408,0.0,27.0,0.0716871585,638,94,0,955,0,2020,flood
FL.BNA.04,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.สุขุมวิท ช่วงแบริ่ง,105408,0.0,32.5,0.0079718807,38,23,3,757,0,2020,flood
FL.BRK.01,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.สุรวงศ์ ช่วงทางด่วน,105408,0.0,24.8,0.0067338342,46,25,0,56,0,2020,flood
FL.BRK.02,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.สีลม ช่วงถนนคอนแวนต์,105408,0.0,6.6,0.0047984973,6,0,0,210,0,2020,flood
FL.BSU.01,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.ประชาราษฏร์ แยกเตาปูน,105407,0.0,20.0,0.0030377489,28,1,0,69,0,2020,flood
FL.CTC.01,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.รัชดาภิเษก ช่วงแยกลาดพร้าว (หน้าธนาคารกรุงเทพ),105407,0.0,18.9,0.0064028006,44,6,0,146,0,2020,flood
FL.CTC.02,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.กำแพงเพชร 3,105408,0.0,28.5,0.0129857316,94,24,0,216,0,2020,flood
FL.CTC.03,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.พหลโยธิน ช่วงแยกเกษตร,105408,0.0,34.7,0.1768158015,531,115,13,44273,0,2020,flood
FL.CTC.04,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.เทศบาลสงเคราะห์ ช่วงตลาดประชานิเวศน์,105408,0.0,24.4,0.0094926381,80,12,0,86,0,2020,flood
FL.CTC.05,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.พหลโยธิน หน้ากรมการขนส่งทางบก,105408,0.0,15.0,0.0015340392,15,1,0,23,0,2020,flood
FL.CTC.06,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.งามวงศ์วาน ช่วงแยกเกษตร,105407,0.0,12.1,0.0500896525,539,0,0,1022,0,2020,flood
FL.CTC.07,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ซ.เสนานิคม,105408,0.0,23.6,0.0056058364,43,16,0,48,0,2020,flood
FL.DDG.01,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.รัชดาภิเษก ช่วงแยกเทียมร่วมมิตร,105407,0.0,17.7,0.0091085032,87,9,0,103,0,2020,flood
